support vector machine	Support-vector machine
focus-and-context screen	Focus-plus-context screen
data journal	Data publishing
n-acetyl cysteine	Acetylcysteine
cashier's order	Cashier's check
sea cruise	Cruise ship
harai tsurikomi ashi	Harai tsurikomi ashi
see monkeys	Sea-Monkeys
static typing	Type system
sub-sea pipeline	Submarine pipeline
automated bot	Software agent
bit complexity	Context of computational complexity
blue states	Red states and blue states
knowledge is virtue	Moral intellectualism
morris maze	Morris water navigation task
vesica piscis	Vesica piscis
heavy rail	Passenger rail terminology
history of earth	History of Earth
oceanic heat content	Ocean heat content
communication of resources in bumblebees	Bumblebee communication
south pacific	South Pacific
molecular formula	Chemical formula
embedded analytics	Embedded analytics
theme route	Scenic route
local network access	Last mile
corpulence index	Corpulence index
speeding ticket	Traffic ticket
tall-case clock	Grandfather clock
teichmueller space	Teichmüller space
fire grenades	Fire extinguisher
sequential engineering	Traditional engineering
artificial urinary bladder	Artificial urinary bladder
danish design centre	Danish Design Centre
professional car	Professional car
median glossepiglottic fold	Glossoepiglottic folds
pillau-class light cruiser	Pillau-class cruiser
unsolicited bulk email	Email spam
rodrigues' rotation formula	Rodrigues' rotation formula
weight control	Obesity
gameplay of final fantasy xi	Final Fantasy XI
tuberculum adductorium femoris	Adductor tubercle of femur
brake pedal	Car controls
lebanese pound	Lebanese pound
černy conjecture	Synchronizing word
history of wikipedia	History of Wikipedia
change machine	Change machine
overhead join	Overhead join
reductio ad absurdem	Reductio ad absurdum
lead wool	Lead wool
crisis theory	Crisis theory
car registration	Motor vehicle registration
free-free emission	Bremsstrahlung
bow thruster	Manoeuvring thruster
dyson ball	List of Dyson products
phase alternation line	PAL
window bag	Airbag
knowledge production	Knowledge economy
list of biodiversity databases	List of biodiversity databases
sutura sphenoparietalis	Sphenoparietal suture
balloon whisk	Whisk
energy and utility skills	Energy and Utility Skills
hymenaea mexicana	Hymenaea mexicana
click tag code	Click tag
assumed business names	Trade name
quaternary alloy	Alloy
dirichlet domain	Voronoi diagram
angle measure	Angle
centre-to-centre spacing	Centre-to-centre distance
european industrial metal	Industrial metal
video terminal	Computer terminal
atmospheric research	Atmospheric Research
siege hook	Siege hook
ski season	Ski season
mind altering substance	Psychoactive drug
amagat's law	Amagat's law
usability enginering	Usability engineering
9mm calibre	9 mm caliber
bare chip	Integrated circuit
beaver pond	Beaver dam
single-wire transmission line	Single-wire transmission line
sales potential forecast	Sales operations
testosterone-binding protein	Sex hormone-binding globulin
trigonometric arcus functions	Inverse trigonometric functions
law of constant proportion	Law of definite proportions
dielectric resonator antenna	Dielectric resonator antenna
polarized capacitor	Electrolytic capacitor
multiple star system	Star system
microfuge tube	Laboratory centrifuge
characteristic vector analysis	Principal component analysis
gutenberg press	Printing press
montgomery-class cruiser	Montgomery-class cruiser
slide guitar	Slide guitar
chinese cruller	Youtiao
reproduction strategy	Reproduction
zinc tablets	Zinc
harp bass	Harp guitar
organic pin grid array	Pin grid array
virtual radar	Virtual radar
hard determinists	Hard determinism
kilopounds per square foot	Pounds per square inch
skeleton tower	Skeletal tower
reproducible builds	Reproducible builds
business activity monitoring	Business activity monitoring
stem weight ratio	Biomass allocation
talcum powder	Talc
suspend mode	Sleep mode
astronomical filter	Astronomical filter
autotrace software comparison	Comparison of raster-to-vector conversion software
swimming machine	Swimming machine
metalingual function	Jakobson's functions of language
inborn metabolic disorder	Inborn errors of metabolism
triple-channel architecture	Multi-channel memory architecture
oil spill detecting	Oil spill
peptide library	Peptide library
thousand-yard stare	Thousand-yard stare
p2 receptor	P2 receptor
low-ionization nuclear emission-line region	Low-ionization nuclear emission-line region
list of free file formats	Open format
minnesota semi-starvation experiment	Minnesota Starvation Experiment
oxygen synthesis	Photosynthesis
rheonomic constraint	Rheonomous
double extension	Filename extension
heirarchical classifier	Hierarchical classification
rational data type	Rational data type
poulsbo chipset	System Controller Hub
industrial equipment	Industrial technology
cooler pad	Laptop cooler
new york times	The New York Times
k-5 truck	K-5 truck
nitrogen isotopes	Isotopes of nitrogen
turf filter	Algae scrubber
roaming user profile	Roaming user profile
ranged weapon	Ranged weapon
atari 1010	Atari 8-bit computer peripherals
mental workload	Cognitive load
goddamn it	Damnation
local replacement algorithm	Page replacement algorithm
carbon bichloride	Tetrachloroethylene
bayesian design of optimal experiment	Bayesian experimental design
knots per square decimeter	Knot density
balle à la main	Balle à la main
karadeniz kemençesi	Kemençe of the Black Sea
handloom weaver	Loom
lorica musculata	Muscle cuirass
code on demand	Code on demand
tasmanian rainforests	Tasmanian temperate rainforests
kubida kebab	Kabab koobideh
leopoldt's conjecture	Leopoldt's conjecture
astronomical image processing	Astrophotography
levels of identity security	Levels of identity security
m-26 artillery rocket	M26 artillery rocket
fluted black elfin saddle	Helvella lacunosa
artificial dwelling mound	Terp
agbaja mine	Agbaja mine
electric overhead traveling crane	Electric overhead traveling crane
helicopter flight controls	Helicopter flight controls
urea-containing cream	Urea-containing cream
phone log	Phone log
symplectic quotient	Moment map
error detection coding	Error detection and correction
convolution sampling	Convolution random number generator
list of generalist television channels	List of generalist television channels
backwards echo	Reverse echo
cyclist detection	Collision avoidance system
doronicum orientale	Doronicum orientale
iris timofejewii	Iris timofejewii
spartan hoplite	Hoplite
paste-up art	Paste up
ayya valibadu	Ayyavazhi
mercedes e class	Mercedes-Benz E-Class
cellula nervosa praecursoria	Neural stem cell
lider-class destroyer	Lider-class destroyer
flow control valve	Flow control valve
honey frame	Hive frame
intentional misrepresentation	Fraud
water-jet printer	Water-jet printer
sard lemma	Sard's theorem
electric carriage	History of the electric vehicle
rocket engine expansion	Rocket engine nozzle
fire fetish	Pyrophilia
dive support vessel	Diving support vessel
endogenous ethanol in humans	Ethanol
ocean tides	Tide
wrong-way driver warning	Wrong-way driving warning
solid-fuel rocket motor	Solid-propellant rocket
autorité de régulation des communications électroniques et des postes	Autorité de Régulation des Communications Électroniques et des Postes
chinese acronym	Acronym
yamanote circle	Yamanote Line
extermination camp	Extermination camp
voting comparator	Diversity combining
ranat thum lek	Ranat thum lek
omental eminence of pancreas	Pancreas
acid erosion	Acid erosion
transition metal dioxygen complex	Transition metal dioxygen complex
iranian embassy siege	Iranian Embassy siege
vibrational spectrum	Molecular vibration
australian bush hat	Slouch hat
coal mine canary	Sentinel species
optical beam dump	Beam dump
eu driving licence	European driving licence
higgs vacuum	False vacuum decay
time difference of arrival	Time of arrival
lifting-line theory	Lifting-line theory
malt beverage	Malt drink
matrix attachment regions	Scaffold/matrix attachment region
formula 1 flags	Racing flags
synthetic economy	Virtual economy
no existence	Existence
newspaper extra	Newspaper extra
simulated intelligence	Artificial intelligence
differential pressure transducer	Pressure sensor
sudan stain	Sudan stain
atp synthase	ATP synthase
flag lieutenant	Aide-de-camp
intractable plantar keratosis	Callus
gravity-assisted microdissection	Gravity-assisted microdissection
bipod mast	Bipod mast
online safety	Internet safety
visible light communication	Visible light communication
help system	Online help
microbiome-gut-brain axis	Gut–brain axis
object identification	Outline of object recognition
solder-stop mask	Solder mask
consciousness level	Altered level of consciousness
glider bombs	Fritz X
pink sapphire	Sapphire
seal engraving	Seal carving
environmental hermeneutics	Environmental hermeneutics
devil strip	Road verge
card-edge connector	Edge connector
turunmaa class gunboat	Turunmaa-class gunboat
signature scheme	Digital signature
battle manager	Battle command
parallel-coupled cell	Series and parallel circuits
void coefficient of reactivity	Void coefficient
home-improvement centres	Home improvement center
social-emotional agnosia	Social-emotional agnosia
transient receptor potential melastatin channel	TRPM
element ai	Element AI
medical blacklisting	Blacklisting
grüneberg ganglion	Grueneberg ganglion
list of political and geographic subdivisions by size	List of political and geographic subdivisions by total area
spaghetti model	Spaghetti plot
mobile procurement	Mobile procurement
excimer lamp	Excimer lamp
underground sprinkler	Irrigation sprinkler
derivatives exchange	Futures exchange
fife rail	Fife rail
monosodium methyl arsonate	Monosodium methyl arsonate
rena oil spill	Rena oil spill
river-level gauge	Stream gauge
tavern clock	Act of Parliament clock
bowie knife	Bowie knife
philosophy of colour	Philosophy of color
architectural gear ratio	Architectural gear ratio
shake map	Strong ground motion
coriolis pseudoforce	Coriolis force
flour gold	Gold
serangoon bus interchange	Serangoon Bus Interchange
surface-aerated basin	Aerated lagoon
lightweight markup language	Lightweight markup language
selection of facts bias	Selection bias
overtime pay	Overtime
linotype printing	Linotype machine
fear conditioning	Fear conditioning
major fail	Failure
tallest free standing structures	List of tallest freestanding structures
57th century	Timeline of the far future
absolute hot	Absolute hot
msw effect	Mikheyev–Smirnov–Wolfenstein effect
porsche 988	Porsche Boxster/Cayman
control volume	Control volume
castle law	Castle doctrine
elliptization conjecture	Thurston elliptization conjecture
allen bolt	Hex key
microsoft phone scam	Technical support scam
truncated triangular tiling honeycomb	Hexagonal tiling honeycomb
expanded clay aggregate	Expanded clay aggregate
chessmaster 6000	Chessmaster
bovine virus diarrhea virus	Bovine viral diarrhea
gostiny dvor	Gostiny dvor
beetle bank	Beetle bank
dionysian era	Anno Domini
model 1914 grenade	Model 1914 grenade
processus ethmoidalis	Ethmoidal process of inferior nasal concha
gateshead rally	Pirelli Richard Burns Foundation Rally
near-field probe	Test probe
atilay-class submarine	Type 209 submarine
inclusion body	Inclusion bodies
fermi question	Fermi problem
baby wipes	Wet wipe
time-domain thermoreflectance	Time-domain thermoreflectance
plymouth museum	Plymouth City Museum and Art Gallery
forum troll	Internet troll
body system	Biological system
laccaria amethystina	Laccaria amethystina
aluminum sodium salt	Sodium aluminosilicate
semiotics of culture and language	Semiotics of culture
