term,annotation,df
human toll-like receptor-2 ( htlr2 ),protein,jnlpba
epithelial cell line,cell_line,jnlpba
htlr2,protein,jnlpba
multiple host defense genes,DNA,jnlpba
activated jurkat cell line,cell_line,jnlpba
bcl-6 gene,RNA,jnlpba
nuclear-located kruppel-type zinc finger protein,protein,jnlpba
b-cell lymphomas,cell_type,jnlpba
malignant cell population,cell_type,jnlpba
l & h cells,cell_type,jnlpba
pg-b6,protein,jnlpba
pg-b6p,protein,jnlpba
formalin-resistant epitope,protein,jnlpba
aminoterminal region,protein,jnlpba
tumor ( l & h ) cells,cell_type,jnlpba
hodgkin and reed-sternberg cells,cell_line,jnlpba
reactive cd3+/cd4+ t cells,cell_type,jnlpba
cd3+/cd4+ t cells,cell_type,jnlpba
hiv-1 ltr promoter,DNA,jnlpba
eukaryotic transcription factor nf-kappa b,protein,jnlpba
inflammatory genes,DNA,jnlpba
glutathione peroxidase,protein,jnlpba
gpx,protein,jnlpba
selenium-deprived jurkat,cell_line,jnlpba
esb-l t lymphocytes,cell_line,jnlpba
nf-kappa b target genes,DNA,jnlpba
p23,protein,jnlpba
progesterone receptor complexes,protein,jnlpba
associated proteins,protein,jnlpba
fkbp54,protein,jnlpba
fkbp52,protein,jnlpba
cyp-40,protein,jnlpba
p48,protein,jnlpba
pre-formed hsp90 complexes,protein,jnlpba
pr complexes,protein,jnlpba
mononuclear ( mnc ) and polymorphonuclear leucocytes,cell_type,jnlpba
pmnl,cell_type,jnlpba
proinflammatory genes,protein,jnlpba
mnc,cell_type,jnlpba
proinflammatory genes,DNA,jnlpba
monocytic ikappab kinase,protein,jnlpba
signalsome proteins,protein,jnlpba
ikk-alpha,protein,jnlpba
ikk-beta,protein,jnlpba
nf-kappab-inducing kinase,protein,jnlpba
nik,protein,jnlpba
ikk-gamma,protein,jnlpba
ikk complex-associated protein,protein,jnlpba
ikk-alpha/beta heterodimer,protein,jnlpba
ikappab-alpha,protein,jnlpba
-epsilon,protein,jnlpba
ikappab-epsilon,protein,jnlpba
anti-inflammatory cytokine,protein,jnlpba
lps-stimulated whole-blood cell cultures,cell_line,jnlpba
human monocytic cell line u937,cell_line,jnlpba
tnfalpha- and il-10-pretreated u937 cells,cell_line,jnlpba
whole-blood cell cultures,cell_type,jnlpba
32dcl3 cells,cell_line,jnlpba
aml1/eto ( mtg8 ),DNA,jnlpba
"chimeric gene ,",DNA,jnlpba
t ( 8 ; 21 ),DNA,jnlpba
aml1/eto,DNA,jnlpba
murine myeloid precursor cell line,cell_line,jnlpba
32dcl3,cell_line,jnlpba
microbial lipoproteins,protein,jnlpba
toll-like receptors,protein,jnlpba
tlrs,protein,jnlpba
p65-rela,protein,jnlpba
ag receptor,protein,jnlpba
nf-kappa b protein complex,protein,jnlpba
lupus t cells,cell_type,jnlpba
p65 complexes,protein,jnlpba
abnormal cytokine,protein,jnlpba
lipopolysaccharide-activated toll-like receptor 2,protein,jnlpba
human toll-like receptor 2 ( tlr2 ),protein,jnlpba
signaling receptor,protein,jnlpba
tlr2,protein,jnlpba
high-affinity lps binding protein,protein,jnlpba
lps receptor complex,protein,jnlpba
il-1r-associated kinase ( irak ),protein,jnlpba
irak,protein,jnlpba
wild-type tlr2,protein,jnlpba
myeloid differentiation protein,protein,jnlpba
tnf receptor-associated factor 6,protein,jnlpba
il-1rs,protein,jnlpba
/stat5a/b,protein,jnlpba
janus kinase 3 ( jak3 ),protein,jnlpba
interleukin-2 ( il-2 ) receptor common gamma chain ( gamma ( c ) ),protein,jnlpba
signal transducer and activator of transcription 5a and 5b ( stat5a/b ),protein,jnlpba
zap70,protein,jnlpba
nuclear transcription factor c/ebp beta ( nf-il-6 ),protein,jnlpba
sublining cells of synovial tissue,cell_type,jnlpba
nuclear c/ebp beta,protein,jnlpba
fibroblast-like synoviocytes,cell_type,jnlpba
synovial fibroblasts,cell_type,jnlpba
"rheumatoid synovial fluid monocytes/macrophages , but not in lymphocytes or neutrophils",cell_type,jnlpba
synovial fluid monocytes,cell_type,jnlpba
normal or rheumatoid peripheral blood,cell_type,jnlpba
synovial macrophages,cell_type,jnlpba
hematopoietic transcription factors pu.1 and gata-1,protein,jnlpba
hematopoietic-specific ets family transcription factor,protein,jnlpba
lymphoid and myeloid lineages,cell_type,jnlpba
mouse erythroleukemia ( mel ) cells,cell_line,jnlpba
dna-binding domains,protein,jnlpba
dna binding,protein,jnlpba
transactivation domains,protein,jnlpba
mel cells,cell_line,jnlpba
ifn regulating factor-1 ( irf-1 ),protein,jnlpba
nk,cell_type,jnlpba
critical immunoregulatory cytokine,protein,jnlpba
cd4+ cells,cell_type,jnlpba
th1 cells,cell_type,jnlpba
il-12,DNA,jnlpba
ifn-alpha-inducible genes,DNA,jnlpba
ifn regulatory factor-1 ( irf-1 ),protein,jnlpba
irf-1 reporter construct,DNA,jnlpba
il-4-stimulated cells,cell_line,jnlpba
irf,protein,jnlpba
human beta-globin gene locus,DNA,jnlpba
dnase 1 hypersensitive sites,DNA,jnlpba
active globin gene promoters,DNA,jnlpba
globin locus control region,DNA,jnlpba
beta-like globin genes,DNA,jnlpba
minimal beta-globin promoter,DNA,jnlpba
erythroid-specific dnase 1 hypersensitive site-forming element,DNA,jnlpba
hsfe,DNA,jnlpba
beta-globin promoter and gene,DNA,jnlpba
dnase 1,protein,jnlpba
beta-globin promoters,DNA,jnlpba
haec,cell_line,jnlpba
vascular cell adhesion molecule,protein,jnlpba
nuclear factor-90,protein,jnlpba
double-stranded rna,RNA,jnlpba
antigen receptor response element 2,DNA,jnlpba
arre-2,DNA,jnlpba
nf90,protein,jnlpba
nf45,protein,jnlpba
nonimmune hela cells,cell_line,jnlpba
c5a-induced interleukin-8 gene,DNA,jnlpba
c5a-stimulated pbmc,cell_line,jnlpba
raw264.7 macrophage cells,cell_line,jnlpba
kappab sequence,DNA,jnlpba
il-8 promoter regions,DNA,jnlpba
kappab sites,DNA,jnlpba
dominant negative ikappabalpha construct,DNA,jnlpba
gi proteins,protein,jnlpba
c5a receptor,protein,jnlpba
glucocorticoid receptor beta,protein,jnlpba
airway cells,cell_type,jnlpba
gc receptor ( gcr ) pre-mrna,RNA,jnlpba
gcrbeta,protein,jnlpba
bronchoalveolar lavage ( bal ) cells,cell_type,jnlpba
gcrbeta-specific antibody,protein,jnlpba
gcrbeta-immunoreactive cells,cell_type,jnlpba
gcrbeta-positive,cell_type,jnlpba
-stat5a,protein,jnlpba
/cd40,protein,jnlpba
cd40 receptor,protein,jnlpba
resting tonsillar b cells,cell_line,jnlpba
transcription factor complex,protein,jnlpba
nf-kappab complexes,protein,jnlpba
nf-kappab complex,protein,jnlpba
janus kinase 3 tyrosine kinase,protein,jnlpba
cd40-activated monocytes,cell_line,jnlpba
epo-responsive cell type,cell_type,jnlpba
growth factor-dependent cell lines,cell_line,jnlpba
interleukin-2 [ il-2 ] -dependent ht-2 line,cell_line,jnlpba
stat-5,protein,jnlpba
hybridomas,cell_line,jnlpba
unidentified cellular factor,protein,jnlpba
anti-tnf antibody,protein,jnlpba
activated macrophage,cell_type,jnlpba
proteolysis-resistant inhibitor,protein,jnlpba
ikappab-alphas32/36a,protein,jnlpba
nef,DNA,jnlpba
hiv-1 genome,DNA,jnlpba
proteolysis-resistant nuclear factor-kappab inhibitor,protein,jnlpba
nef region,DNA,jnlpba
open-reading frames,DNA,jnlpba
hiv/siv genome,DNA,jnlpba
nf-atc isoforms,protein,jnlpba
embryonic cardiac cells,cell_type,jnlpba
naive t cells,cell_type,jnlpba
nf-atc isoform,protein,jnlpba
effector t cells,cell_type,jnlpba
isoform nf-atc/a,protein,jnlpba
strong n-terminal trans-activation domain,protein,jnlpba
tad-a,protein,jnlpba
nf-atc/c,protein,jnlpba
tad-b,protein,jnlpba
12-o-tetradecanoyl 12-phorbol 13-acetate-stimulated t cells,cell_line,jnlpba
nf-atc/b,protein,jnlpba
nf-atc/b and -c,protein,jnlpba
naive t lymphocytes,cell_type,jnlpba
ctl clones,cell_line,jnlpba
cd8+ t cell clones,cell_line,jnlpba
single mhc/peptide complex,protein,jnlpba
tcr chains,protein,jnlpba
anti-cd8 mab,protein,jnlpba
tcr-cd8 complex,protein,jnlpba
beta-catenin-lymphoid enhancer factor 1 complexes,protein,jnlpba
beta-catenin,protein,jnlpba
lef/tcf,protein,jnlpba
lymphoid enhancer factor and t-cell factor,protein,jnlpba
delta19,DNA,jnlpba
e-cadherin,protein,jnlpba
apc,protein,jnlpba
axin,protein,jnlpba
delta19 beta-catenin mutant,protein,jnlpba
lef/tcf factors,protein,jnlpba
lef-1 complexes,protein,jnlpba
transformed t-lymphocyte cell line,cell_line,jnlpba
lef-1-beta-catenin complexes,protein,jnlpba
ikaros gene family,DNA,jnlpba
ikaros,protein,jnlpba
aiolos,protein,jnlpba
nuclear complexes,protein,jnlpba
erythroblastic progeny,cell_type,jnlpba
transduced hematopoietic stem cells,cell_line,jnlpba
genetically modified hematopoietic stem cells,cell_type,jnlpba
constitutive viral enhancer,DNA,jnlpba
u3 region,DNA,jnlpba
3 ' ltr,DNA,jnlpba
autoregulatory enhancer,DNA,jnlpba
erythroid-specific gata-1 transcription factor gene,DNA,jnlpba
replaced enhancer,DNA,jnlpba
5 ' ltr,DNA,jnlpba
target cell genome,DNA,jnlpba
human hematopoietic cell lines,cell_line,jnlpba
cord blood-derived cd34 ( + ) stem/progenitor cells,cell_type,jnlpba
murine bone marrow repopulating stem cells,cell_line,jnlpba
triangle uplngfr,DNA,jnlpba
egfp,DNA,jnlpba
transduced stem cells,cell_line,jnlpba
gata-1 autoregulatory enhancer,DNA,jnlpba
ltr-driven proviral transcription unit,DNA,jnlpba
human progenitors,cell_type,jnlpba
mouse-repopulating stem cells,cell_line,jnlpba
retroviral transgene,DNA,jnlpba
apoptosis-linked gene 4,DNA,jnlpba
alg-4f,protein,jnlpba
truncated transcript,protein,jnlpba
full-length alg-4,protein,jnlpba
alg-4,protein,jnlpba
epstein-barr virus oncoprotein latent membrane protein 1,protein,jnlpba
tumor necrosis factor receptor-associated proteins,protein,jnlpba
receptor-interacting protein,protein,jnlpba
rip,protein,jnlpba
epstein-barr virus ( ebv ) transforming protein,protein,jnlpba
tumor necrosis factor receptor 1 ( tnfr1 ) -associated death domain protein,protein,jnlpba
tnfr1,protein,jnlpba
residues 122 to 293,protein,jnlpba
ebv-negative burkitt lymphoma or human embryonic kidney 293 cells,cell_line,jnlpba
caspase-1 and -3,protein,jnlpba
nf-kappa b1 dimers,protein,jnlpba
resting normal human pbl,cell_type,jnlpba
caspase inhibitor,protein,jnlpba
z-vad-fmk,protein,jnlpba
ac-devd-fmk,protein,jnlpba
caspase,protein,jnlpba
soluble fas ligand,protein,jnlpba
active death effector proteases,protein,jnlpba
caspase-1,protein,jnlpba
il-1 converting enzyme,protein,jnlpba
caspase-3,protein,jnlpba
cpp32/yama/apopain,protein,jnlpba
caspase-6,protein,jnlpba
caspase-3 substrates,protein,jnlpba
poly ( adp-ribose ) polymerase,protein,jnlpba
dna fragmentation factor-45,protein,jnlpba
caspases,protein,jnlpba
naive pbl,cell_type,jnlpba
normal human neutrophils,cell_type,jnlpba
transformed cells,cell_line,jnlpba
interleukin ( il ) -3,protein,jnlpba
92-kda protein,protein,jnlpba
"stats1 , 3 , and 6",protein,jnlpba
c-fes,protein,jnlpba
vav protooncogene products,protein,jnlpba
42- and 44-kda proteins,protein,jnlpba
mo7e cells,cell_type,jnlpba
upstream signaling molecules,protein,jnlpba
c-raf-1,protein,jnlpba
interleukin ( il ) -2-stimulated or il-2-deprived cells,cell_line,jnlpba
-aiolos,protein,jnlpba
aiolos-binding sites,DNA,jnlpba
reporter gene luciferase,DNA,jnlpba
il-2-deprived cells,cell_line,jnlpba
human il-5 ( hil-5 ) promoter,DNA,jnlpba
protein binding regions,DNA,jnlpba
brs,DNA,jnlpba
proximal hil-5 promoter,DNA,jnlpba
hil-5 promoter,DNA,jnlpba
br3,DNA,jnlpba
br4,DNA,jnlpba
octamer-like,protein,jnlpba
yy1 nuclear factors,protein,jnlpba
br3 sequence,DNA,jnlpba
octamer-like factors,protein,jnlpba
-90/-79 sequence,DNA,jnlpba
proximal il-5 promoter,DNA,jnlpba
human lymphocyte,cell_type,jnlpba
human t cell,cell_type,jnlpba
cyclins,protein,jnlpba
il-2r alpha- and gamma-chains,protein,jnlpba
i kappa b-beta,protein,jnlpba
stat1 and stat5 genes,DNA,jnlpba
human t-cell leukemia virus type 1 ( htlv-1 ) tax,protein,jnlpba
htlv-1-transformed t-cell lines,cell_line,jnlpba
"stat1 , stat3 and stat5 rna",RNA,jnlpba
virus-negative t cells,cell_type,jnlpba
"stat1 , stat3 and stat5 mrnas",RNA,jnlpba
t-cell mitogen,protein,jnlpba
human helper t cells,cell_type,jnlpba
allergen-specific t-cell clones,cell_line,jnlpba
t-cell hybridomas,cell_line,jnlpba
il-5 promoter/enhancer-luciferase gene construct,DNA,jnlpba
pil-5 ( -511 ) luc,DNA,jnlpba
il-5-producing t-cell clones,cell_line,jnlpba
il-5-nonproducing clones,cell_line,jnlpba
il-5 gene-nonexpressing t-cell line,cell_line,jnlpba
il-5-nonproducing t-cell clones,cell_line,jnlpba
il-2 or il-4 genes,DNA,jnlpba
anti-inflammatory mediators,protein,jnlpba
il-10 and -11,protein,jnlpba
il-1 receptor antagonist,protein,jnlpba
matrix metalloproteinases 1 and 3,protein,jnlpba
cytotoxic proteins,protein,jnlpba
lak cells,cell_line,jnlpba
humara,DNA,jnlpba
x-chromosome,DNA,jnlpba
human androgen receptor gene,DNA,jnlpba
t cells,cell_line,jnlpba
humara alleles,DNA,jnlpba
granuloctyes,cell_type,jnlpba
immunoglobulin heavy chain ( igh ) gene,DNA,jnlpba
wilms ' tumor gene,DNA,jnlpba
wt1,DNA,jnlpba
leukemic cell line k562,cell_line,jnlpba
zinc finger type,protein,jnlpba
leukemic cell lines,cell_line,jnlpba
megakaryocytic cell surface markers,protein,jnlpba
interleukin-4 receptor alpha chain,protein,jnlpba
interleukin ( il ) -4,protein,jnlpba
il-4 receptor,protein,jnlpba
il-13r alpha chain,protein,jnlpba
membrane-proximal portion,protein,jnlpba
human il-4r alpha,protein,jnlpba
hil-4r alpha,protein,jnlpba
truncated hil-4r alphas,protein,jnlpba
chemotactic cytokines,protein,jnlpba
inflammatory cells,cell_type,jnlpba
messenger rna,RNA,jnlpba
correspondent proteins,protein,jnlpba
dep-pah-activated cells,cell_type,jnlpba
anti-il-8,protein,jnlpba
anti-rantes,protein,jnlpba
drip coactivator complex,protein,jnlpba
p21,DNA,jnlpba
waf1,DNA,jnlpba
cip1,DNA,jnlpba
vdr target gene,DNA,jnlpba
grip-1,protein,jnlpba
drip205,protein,jnlpba
vav,protein,jnlpba
hematopoietic cell specific molecules,protein,jnlpba
interleukin ( il ) -2 promoter,DNA,jnlpba
jurkat t cell line,cell_line,jnlpba
ap-1 transcription factors,protein,jnlpba
rel/nf-kappab,protein,jnlpba
jagged1,protein,jnlpba
notch receptors,protein,jnlpba
dsl family of ligands,protein,jnlpba
rel/nf-kappab-responsive gene,DNA,jnlpba
jagged1 transcripts,protein,jnlpba
c-rel-expressing cell monolayers,cell_line,jnlpba
notch1/tan-1 receptor,protein,jnlpba
hes-1 transcripts,RNA,jnlpba
co-cultivated t cells,cell_line,jnlpba
cd23 transcripts,RNA,jnlpba
mouse raw264.7,cell_line,jnlpba
human thp-1 macrophage cells,cell_line,jnlpba
cre reporter plasmid,DNA,jnlpba
ap-1 reporter plasmid,DNA,jnlpba
hgr,protein,jnlpba
cytosol protein,protein,jnlpba
interferon consensus sequence binding protein for activated t cells,protein,jnlpba
interferon regulatory factor ( irf ) family,protein,jnlpba
atl ( adult t-cell leukemia ) -16t expression library,DNA,jnlpba
memory t cell,cell_type,jnlpba
resting cd4+ memory t cells,cell_type,jnlpba
freshly isolated memory t cells,cell_type,jnlpba
cell culture system,cell_line,jnlpba
th effectors,protein,jnlpba
resting memory t cells,cell_type,jnlpba
il-2-producing cells,cell_type,jnlpba
cd4+ memory t cells,cell_type,jnlpba
cytokine-producing effector cells,cell_type,jnlpba
t. parva-infected cells,cell_type,jnlpba
t. parva-transformed t cells,cell_type,jnlpba
dominant negative mutant,protein,jnlpba
tnf promoter region,DNA,jnlpba
cytokine promoter regions,DNA,jnlpba
hla alleles,DNA,jnlpba
cyp1a1,protein,jnlpba
cytochrome p-4501a1,protein,jnlpba
cytochrome p4501a1,protein,jnlpba
cyp1a1 mrna,RNA,jnlpba
cultured human keratinocytes,cell_line,jnlpba
hacat cell line,cell_line,jnlpba
primary human blood lymphocytes,cell_type,jnlpba
mouse hepa-1 cells,cell_line,jnlpba
treated cells,cell_type,jnlpba
hacat cells,cell_line,jnlpba
hepa-1 wild-type and ah receptor deficient c12 cell lines,cell_line,jnlpba
wild-type ( wt ) cells,cell_line,jnlpba
c12 cells,cell_type,jnlpba
histone deacetylase complexes,protein,jnlpba
lymphoid lineage-determining factors,protein,jnlpba
strong transcriptional repressors,protein,jnlpba
repression domains,protein,jnlpba
ikaros proteins,protein,jnlpba
core histones,protein,jnlpba
msin3 family,protein,jnlpba
histone deacetylases,protein,jnlpba
mi-2-hdac,protein,jnlpba
ikaros family members,protein,jnlpba
specific promoters,DNA,jnlpba
protein kinase b,protein,jnlpba
c-akt,protein,jnlpba
hcd57 erythroid cells,cell_line,jnlpba
"epo-independent , apoptosis-resistant subclone",cell_line,jnlpba
hcd57-srei cells,cell_line,jnlpba
activated protein kinase b,protein,jnlpba
pkb/akt,protein,jnlpba
epo-dependent hcd57 erythroid cells,cell_line,jnlpba
epo-independent cells,cell_line,jnlpba
pi3-kinase,protein,jnlpba
hcd57-srei,cell_line,jnlpba
hcd57 cells,cell_line,jnlpba
pkb/pi3-kinase,protein,jnlpba
/pkb/akt,protein,jnlpba
epo-independent hcd57-srei cells,cell_line,jnlpba
committed t cell progenitors,cell_type,jnlpba
basic helix-loop-helix ( bhlh ) transcription factors,protein,jnlpba
human cd34 ( + ) hematopoietic progenitor cells,cell_type,jnlpba
t cell receptor ( tcr ) gene rearrangements,DNA,jnlpba
transduced cells,cell_type,jnlpba
tcralpha beta and gamma delta cells,cell_line,jnlpba
fetal thymic organ culture,cell_line,jnlpba
ftoc,cell_line,jnlpba
tcr gene rearrangements,DNA,jnlpba
pre-t cells,cell_type,jnlpba
tcralpha beta,cell_line,jnlpba
tcrgamma delta t cells,cell_line,jnlpba
pre-talpha mrna,RNA,jnlpba
cell surface cd4 ( - ) cd8 ( - ) cd3 ( - ) cells,cell_type,jnlpba
rearranged tcr genes,DNA,jnlpba
id3-transduced,cell_line,jnlpba
control-transduced pre-t cells,cell_line,jnlpba
natural killer,cell_type,jnlpba
bhlh factors,protein,jnlpba
resting peripheral blood mononuclear cells,cell_type,jnlpba
cdr2-loop,protein,jnlpba
extracellular domain 1,protein,jnlpba
cell surface cd4,protein,jnlpba
gp120-anti-gp120 immune complexes,protein,jnlpba
resting pbmcs,cell_type,jnlpba
domain 1,protein,jnlpba
d1,protein,jnlpba
virus envelope and anti-cd4 monoclonal antibodies,protein,jnlpba
d1/cdr3-loop,protein,jnlpba
soluble cd4,protein,jnlpba
scd4,protein,jnlpba
d1/cdr2-loop ligands,protein,jnlpba
d1/cdr2-loop,protein,jnlpba
lymphotoxin-beta receptor,protein,jnlpba
membrane-bound tnf-alpha,protein,jnlpba
lymphotoxin-beta ( lt-beta ) receptor,protein,jnlpba
lt-betar,protein,jnlpba
tnf receptor systems,protein,jnlpba
lt-alpha1beta2,protein,jnlpba
lt-beta and tnf-alpha receptors,protein,jnlpba
monoclonal anti-endothelial cell antibodies,protein,jnlpba
maeca,protein,jnlpba
huvec,cell_line,jnlpba
macrovascular ec,cell_line,jnlpba
microvascular ec,cell_line,jnlpba
human bone marrow ec immortalized by sv40,cell_line,jnlpba
total igg-aeca,protein,jnlpba
human aortic ec,cell_type,jnlpba
activated ec,cell_line,jnlpba
maeca-treated ec,cell_line,jnlpba
igg,protein,jnlpba
normal human igg,protein,jnlpba
u937 monocytic cells,cell_type,jnlpba
ec,cell_type,jnlpba
nf-kappab transcription factor,protein,jnlpba
aeca,protein,jnlpba
adhesion molecule,protein,jnlpba
nf of activated t cells,protein,jnlpba
nf-at1,protein,jnlpba
nf-at4,protein,jnlpba
resting eosinophils,cell_type,jnlpba
nf-at2,protein,jnlpba
nf-at3,protein,jnlpba
nf-at1 mrna,RNA,jnlpba
nf-at4 mrna,RNA,jnlpba
th2-associated cytokines,protein,jnlpba
nf-ats,protein,jnlpba
"il-4- , il-5- , or ionomycin-stimulated eosinophils",cell_line,jnlpba
il-4- or il-5-stimulated eosinophils,cell_line,jnlpba
th2 lymphocytes,cell_line,jnlpba
peroxisome proliferator-activated receptor-alpha,protein,jnlpba
nuclear receptor family,protein,jnlpba
human ecs,cell_type,jnlpba
human carotid artery ecs,cell_type,jnlpba
cultured human ecs,cell_type,jnlpba
tnf-alpha-induced vcam-1,protein,jnlpba
vcam-1 promoter constructs,DNA,jnlpba
cbp/p300,protein,jnlpba
cardiomyocytes,cell_type,jnlpba
transcriptional co-activators,protein,jnlpba
inducible n-terminal transactivation domain,protein,jnlpba
n terminal transactivation domain,protein,jnlpba
c-raf,protein,jnlpba
cbp,protein,jnlpba
wild-type cbp,protein,jnlpba
circulating t lymphocytes,cell_type,jnlpba
hormone receptors,protein,jnlpba
permanently activated receptor,protein,jnlpba
tumor necrosis factor ( tnf ) -receptor superfamily,protein,jnlpba
c-terminal activating regions,protein,jnlpba
proline rich sequence,protein,jnlpba
ngf-r : lmp1 chimera,protein,jnlpba
stat transcription factors,protein,jnlpba
viral integral membrane protein,protein,jnlpba
monocyte chemoattractant protein 1,protein,jnlpba
growth-related activity-alpha,protein,jnlpba
